total_transactions,unique_counterparties,incoming_count,outgoing_count,incoming_outgoing_ratio,total_volume,degree_centrality,label
27,27,19,8,2.111111111111111,2.5369882416192593,1.0,0
1,1,0,1,0.0,0.0,1.0,0
289,289,224,65,3.393939393939394,77.47228554054405,1.0,1
1,1,1,0,1.0,0.0,1.0,0
6,6,6,0,6.0,0.002765351648529125,1.0,0
10,10,1,9,0.1,0.00010817359737682799,1.0,0
89,88,8,81,0.0975609756097561,66.15870947049291,1.0113636363636365,1
21,20,19,2,6.333333333333333,21.72000249526,1.05,0
5,5,1,4,0.2,0.17931180193342655,1.0,0
11,11,11,0,11.0,0.0,1.0,0
230,166,131,99,1.31,8.434288712621896,1.385542168674699,0
1,1,0,1,0.0,1e-09,1.0,0
85,83,15,70,0.2112676056338028,2.290623849785561,1.0240963855421688,0
379,379,379,0,379.0,40.91995775062465,1.0,1
1,1,0,1,0.0,4.756544475e-09,1.0,0
289,289,289,0,289.0,0.0,1.0,1
2,2,1,1,0.5,0.004536032678352515,1.0,0
7,6,4,3,1.0,0.12164459999999999,1.4000000000000001,0
1,1,0,1,0.0,1e-09,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
4,4,2,2,0.6666666666666666,0.156692259272224,1.0,0
190,190,169,21,7.681818181818182,48.89146919420296,1.0,1
252,252,9,243,0.036885245901639344,12.9565174192852,1.0,0
1,1,0,1,0.0,0.0,1.0,0
18,18,4,14,0.26666666666666666,0.03134490661412662,1.0,0
5,5,4,1,2.0,2.251330021,1.0,0
2,2,2,0,2.0,0.05513573,1.0,0
99,99,99,0,99.0,0.0,1.0,1
206,206,206,0,206.0,0.0,0.9999999999999999,1
12,12,12,0,12.0,2.0,1.0,0
1,1,0,1,0.0,2.4524101e-11,1.0,0
1,1,0,1,0.0,0.0,1.0,0
38,38,33,5,5.5,10.524777627249735,1.0,0
128,128,128,0,128.0,0.0,1.0,1
332,332,332,0,332.0,0.0,1.0,1
26,26,26,0,26.0,48.73610995915973,1.0,1
6,6,5,1,2.5,27.016844751,1.0,0
7,7,0,7,0.0,6e-09,1.0,0
3,3,2,1,1.0,8.257370634200999e-06,1.0,0
3,3,1,2,0.3333333333333333,0.000211781216,1.0,0
135,135,1,134,0.007407407407407408,1.2040346646012554,1.0,0
2,2,1,1,0.5,0.00219616,1.0,0
2,2,1,1,0.5,8.245992809979e-06,1.0,0
1,1,0,1,0.0,0.0,1.0,0
33,31,15,18,0.7894736842105263,1.5914189115285176,1.1,0
1,1,0,1,0.0,0.0,1.0,0
1,1,0,1,0.0,1e-09,1.0,0
10,10,7,3,1.75,0.32444303297928473,1.0,0
4,4,0,4,0.0,1.79943571049e-06,1.0,0
